Member ID,Member Name,Line ID,Create at,Phone,Order Type,Remain Delivery,Remain Volume,Payment Status,Balance,Valid Member,Bank Account,Remain Free Quota,Total Delivery Fee,Avatar
0f9291a1-3858-4aa5-99e7-7620a3669467,宋品岳,Ua89b92b96774ee6f3a0da85baa2d9862,2025-09-25 13:28:23,0933835537,,8,0,未付款,-54756,是,,1,0,jn6myyg7
4755bbb7-9445-4969-b375-8fd794b5e8ec,王小明,,2025-09-28 04:23:58,0912942485,,13,0,未付款,17160,是,,1,0,5ko991dz
a1d3c8e2-1111-4b2a-9f8a-1234567890ab,陳小美,Ua123456abcdef0123456789,2025-08-12 09:12:45,0912123456,,5,0,已付款,3000,否,123-4567890123,0,150,avatar01
b2e4f9d3-2222-4c3b-8a7b-2345678901bc,李大同,,2025-07-02 15:05:10,0922333444,,2,1,已付款,500,否,987-6543210987,0,50,avatar02
c3f5a0e4-3333-4d4c-7b6c-3456789012cd,林月,,2025-06-20 11:30:00,0987654321,,0,0,未付款,0,否,,2,0,avatar03
d4a6b1f5-4444-4e5d-6c5d-4567890123de,張文彥,Uaabcdef1234567890abcd123,2025-05-15 08:45:30,0933001122,,7,2,已付款,12000,是,004-1234567890,0,200,avatar04
e5b7c2g6-5555-4f6e-5d4e-5678901234ef,吳佳怡,Ua9876543210fedcba9876543,2025-04-10 18:20:12,0918002233,,3,0,已付款,2500,否,005-9876543210,1,60,avatar05
f6c8d3h7-6666-406f-4e3f-6789012345f0,許志強,,2025-03-28 12:00:00,0927003344,,1,0,已付款,150,否,,0,0,avatar06
07d9e4i8-7777-4170-3f2g-789012345601,黃婉君,Ua0a1b2c3d4e5f6g7h8i9j0k,2025-02-14 09:09:09,0955333222,,6,1,已付款,7800,是,007-1112223334,0,90,avatar07
18e0f5j9-8888-4271-2g1h-890123456712,鄭忠義,,2024-12-31 23:59:59,0966004455,,4,0,已付款,4200,否,,0,40,avatar08
29f1g6k0-9999-4372-1h0i-901234567823,蔡佩芬,Uaabcdef9876543210abcd,2024-11-05 07:30:21,0900111222,,9,0,已付款,15000,是,008-7776665554,2,250,avatar09
3a02h7l1-aaaa-4473-0i9j-012345678934,何國榮,,2024-10-20 13:15:15,0931445566,,0,0,未付款,-1200,否,,0,0,avatar10
4b13i8m2-bbbb-4574-9j8k-123456789045,鄧小龍,Uaabc123abc123abc123abc,2024-09-01 10:05:05,0911222333,,11,0,已付款,32000,是,009-3332221110,0,400,avatar11
