Order ID,Order Date,Confirmed Order,Desired Date,Deliver Date,Deliver Status,Payment Method,Member ID,Orders,Total Fee,Tax,Delivery Fee,Recipient,Address,Invoice
6db4694a-7a3d-4490-9e00-e16307c4ac95,2025-09-27 04:31:13,接受,2025-09-29,2025-10-16,DELIVERING,CASH,0f9291a1-3858-4aa5-99e7-7620a3669467,"鮮奶希臘式濃縮優格 * 6、蜂蜜脆片希臘式濃縮優格 * 12",2196,110,0,何麗芳,"新北市新店區中正路487之4號12樓之2",2196
2d4a00c9-d08b-4624-ada8-ae9e1a35079d,2025-09-27 05:02:35,取消,2025-09-27,,PREPARE,CASH,0f9291a1-3858-4aa5-99e7-7620a3669467,"黑糖桂圓希臘式濃縮優格 * 18、芒果希臘式濃縮優格 * 6",3072,154,0,林彧龍,"台北市文山區某個地方",3072
8d3f2b5e-1a2b-4c3d-9e0f-111111111111,2025-09-25 10:12:01,接受,2025-09-28,2025-09-28,DELIVERED,CARD,4755bbb7-9445-4969-b375-8fd794b5e8ec,"原味希臘式濃縮優格 * 3",540,27,60,王小明,"台北市信義區信義路100號",540
9a1b2c3d-2222-4e3f-8a7b-222222222222,2025-09-24 14:05:22,PENDING,2025-09-26,,PREPARE,CASH,a1d3c8e2-1111-4b2a-9f8a-1234567890ab,"蜂蜜脆片希臘式濃縮優格 * 2",360,18,0,陳小美,"新北市板橋區縣民大道一段1號",360
aa11bb22-3333-4c44-9d9e-333333333333,2025-09-23 09:45:00,接受,2025-09-25,2025-09-25,DELIVERED,CARD,b2e4f9d3-2222-4c3b-8a7b-2345678901bc,"黑糖桂圓希臘式濃縮優格 * 5",900,45,50,李大同,"台中市西屯區市政路200號",900
bb22cc33-4444-4d55-0f0f-444444444444,2025-09-22 18:30:10,取消,2025-09-23,,PREPARE,CASH,c3f5a0e4-3333-4d4c-7b6c-3456789012cd,"芒果希臘式濃縮優格 * 10",1800,90,0,林月,"高雄市前鎮區中山二路100號",1800
cc33dd44-5555-4e66-1a1a-555555555555,2025-09-21 11:11:11,接受,2025-09-24,2025-09-24,DELIVERED,CARD,d4a6b1f5-4444-4e5d-6c5d-4567890123de,"原味 * 2、蜂蜜 * 2",720,36,0,張文彥,"台北市大安區忠孝東路200號",720
dd44ee55-6666-4f77-2b2b-666666666666,2025-09-20 07:50:33,PENDING,2025-09-22,,PREPARE,CASH,e5b7c2g6-5555-4f6e-5d4e-5678901234ef,"鮮奶希臘式濃縮優格 * 1",180,9,0,吳佳怡,"新北市三重區重新路一段30號",180
ee55ff66-7777-4078-3c3c-777777777777,2025-09-19 16:40:00,接受,2025-09-21,2025-09-21,DELIVERED,CARD,f6c8d3h7-6666-406f-4e3f-6789012345f0,"蜂蜜脆片 * 3",450,22,0,許志強,"台南市中西區民生路50號",450
ff66aa77-8888-4189-4d4d-888888888888,2025-09-18 12:00:00,接受,2025-09-20,2025-09-20,DELIVERING,CASH,07d9e4i8-7777-4170-3f2g-789012345601,"黑糖 * 4",720,36,0,黃婉君,"桃園市中壢區中央路101號",720
00112233-9999-4290-5e5e-999999999999,2025-09-17 08:30:30,PENDING,2025-09-19,,PREPARE,CARD,18e0f5j9-8888-4271-2g1h-890123456712,"芒果 * 6",1080,54,0,鄭忠義,"新竹市西大路50號",1080
11223344-aaaa-43a1-6f6f-aaaaaaaaaaaa,2025-09-16 19:45:45,接受,2025-09-18,2025-09-18,DELIVERED,CASH,29f1g6k0-9999-4372-1h0i-901234567823,"原味 * 2",360,18,0,蔡佩芬,"台北市中正區衡陽路10號",360
22334455-bbbb-44b2-7g7g-bbbbbbbbbbbb,2025-09-15 14:22:22,取消,2025-09-17,,PREPARE,CARD,3a02h7l1-aaaa-4473-0i9j-012345678934,"蜂蜜 * 1、黑糖 * 1",360,18,0,何國榮,"台北市南港區經貿二路66號",360
33445566-cccc-45c3-8h8h-cccccccccccc,2025-09-14 09:09:09,接受,2025-09-16,2025-09-16,DELIVERED,CASH,4b13i8m2-bbbb-4574-9j8k-123456789045,"鮮奶 * 4",720,36,0,鄧小龍,"高雄市苓雅區和平一路200號",720
